iter	Passed	Remaining
723	3326	1268
724	3331	1263
725	3335	1258
726	3339	1254
727	3343	1249
728	3347	1244
729	3351	1239
730	3355	1234
731	3359	1230
732	3364	1225
733	3369	1220
734	3373	1216
735	3377	1211
736	3382	1207
737	3386	1202
738	3390	1197
739	3394	1192
740	3398	1187
741	3402	1183
742	3406	1178
743	3411	1173
744	3415	1168
745	3419	1164
746	3422	1159
747	3426	1154
748	3430	1149
749	3434	1144
750	3438	1139
751	3442	1135
752	3445	1130
753	3449	1125
754	3453	1120
755	3457	1116
756	3461	1111
757	3466	1106
758	3470	1102
759	3474	1097
760	3479	1092
761	3484	1088
762	3489	1083
763	3493	1079
764	3496	1074
765	3501	1069
766	3505	1064
767	3509	1060
768	3512	1055
769	3516	1050
770	3520	1045
771	3524	1040
772	3528	1036
773	3532	1031
774	3536	1026
775	3539	1021
776	3543	1016
777	3547	1012
778	3550	1007
779	3554	1002
780	3558	997
781	3562	993
782	3566	988
783	3570	983
784	3574	978
785	3578	974
786	3582	969
787	3586	964
788	3590	960
789	3594	955
790	3597	950
791	3602	945
792	3606	941
793	3610	936
794	3615	932
795	3618	927
796	3622	922
797	3626	917
798	3630	913
799	3633	908
800	3637	903
801	3641	899
802	3645	894
803	3650	889
804	3654	885
805	3658	880
806	3664	876
807	3669	871
808	3672	867
809	3677	862
810	3682	858
811	3687	853
812	3692	849
813	3696	844
814	3700	839
815	3704	835
816	3708	830
817	3712	825
818	3715	821
819	3720	816
820	3724	811
821	3728	807
822	3731	802
823	3736	798
824	3740	793
825	3745	788
826	3749	784
827	3754	779
828	3759	775
829	3764	771
830	3769	766
831	3773	761
832	3777	757
833	3781	752
834	3785	748
835	3789	743
836	3793	738
837	3797	734
838	3801	729
839	3806	724
840	3810	720
841	3814	715
842	3819	711
843	3824	706
844	3829	702
845	3833	697
846	3840	693
847	3846	689
848	3851	684
849	3856	680
850	3863	676
851	3868	672
852	3874	667
853	3880	663
854	3886	659
855	3891	654
856	3896	650
857	3901	645
858	3909	641
859	3915	637
860	3919	632
861	3924	628
862	3930	624
863	3936	619
864	3941	615
865	3945	610
866	3951	606
867	3956	601
868	3962	597
869	3968	593
870	3973	588
871	3978	583
872	3983	579
873	3988	574
874	3994	570
875	3998	566
876	4003	561
877	4008	557
878	4013	552
879	4017	547
880	4023	543
881	4027	538
882	4032	534
883	4037	529
884	4041	525
885	4045	520
886	4049	515
887	4053	511
888	4057	506
889	4062	502
890	4066	497
891	4071	492
892	4076	488
893	4082	484
894	4087	479
895	4092	474
896	4095	470
897	4099	465
898	4104	461
899	4110	456
900	4116	452
901	4120	447
902	4126	443
903	4130	438
904	4134	433
905	4138	429
906	4142	424
907	4146	420
908	4151	415
909	4156	411
910	4160	406
911	4165	401
912	4169	397
913	4174	392
914	4179	388
915	4185	383
916	4190	379
917	4195	374
918	4200	370
919	4204	365
920	4209	361
921	4214	356
922	4219	351
923	4224	347
924	4229	342
925	4233	338
926	4238	333
927	4242	329
928	4246	324
929	4251	320
930	4255	315
931	4261	310
932	4267	306
933	4272	301
934	4277	297
935	4299	293
936	4307	289
937	4312	285
938	4321	280
939	4325	276
940	4330	271
941	4334	266
942	4338	262
943	4342	257
944	4346	252
945	4350	248
946	4354	243
947	4358	239
948	4362	234
949	4366	229
950	4371	225
951	4374	220
952	4378	215
953	4383	211
954	4387	206
955	4390	202
956	4394	197
957	4398	192
958	4402	188
959	4406	183
960	4410	178
961	4414	174
962	4418	169
963	4422	165
964	4426	160
965	4430	155
966	4434	151
967	4437	146
968	4441	142
969	4445	137
970	4449	132
971	4454	128
972	4459	123
973	4464	119
974	4468	114
975	4471	109
976	4475	105
977	4480	100
978	4484	96
979	4488	91
980	4492	87
981	4496	82
982	4500	77
983	4504	73
984	4508	68
985	4511	64
986	4515	59
987	4520	54
988	4525	50
989	4529	45
990	4533	41
991	4537	36
992	4542	32
993	4546	27
994	4550	22
995	4555	18
996	4559	13
997	4564	9
998	4568	4
999	4572	0
